condition,b1_accuracy,b2r_accuracy,delta_accuracy,b1_balanced_accuracy,b2r_balanced_accuracy,delta_balanced_accuracy,b1_auc,b2r_auc,delta_auc,b1_f1,b2r_f1,delta_f1,b1_real_accuracy,b2r_real_accuracy,delta_real_accuracy,b1_fake_accuracy,b2r_fake_accuracy,delta_fake_accuracy,b1_mean_prob_real,b2r_mean_prob_real,b1_mean_prob_fake,b2r_mean_prob_fake
clean,0.9964325529542921,0.9964325529542921,0.0,0.9964325130499627,0.996434004474273,1.4914243102737146e-06,0.9998236142182451,0.9997726075068357,-5.100671140934043e-05,0.996420581655481,0.996422182468694,1.6008132129874397e-06,0.9964444444444445,0.996,-0.0004444444444444695,0.996420581655481,0.9968680089485459,0.0004474272930649059,0.005316996423370032,0.006893882270895639,0.9957133824482843,0.9974239940331078
jpeg_q90,0.9612040133779264,0.9576365663322185,-0.0035674470457078833,0.9610872483221476,0.9575093214019388,-0.0035779269202088626,0.997963112105394,0.9980216753666418,5.8563261247757126e-05,0.9596662030598053,0.9558139534883721,-0.003852249571433264,0.996,0.9955555555555555,-0.0004444444444444695,0.9261744966442953,0.9194630872483222,-0.006711409395973145,0.006202838743372648,0.006748748463784935,0.9283072984314985,0.9366624474658698
jpeg_q70,0.9311036789297659,0.9270903010033444,-0.004013377926421424,0.9309008202833706,0.926862043251305,-0.004038777032065677,0.9930639821029082,0.9937719115088243,0.000707929405916019,0.9264110502500595,0.9214885954381752,-0.004922454811884358,0.9915555555555555,0.9951111111111111,0.003555555555555534,0.8702460850111857,0.8586129753914988,-0.011633109619686888,0.012021811567524616,0.010398143406117435,0.8772397165605087,0.8836065932732606
jpeg_q50,0.9096989966555183,0.9047937569676701,-0.004905239687848284,0.9094541387024608,0.9045160328113349,-0.004938105891125977,0.9827575441213026,0.9844521004225703,0.0016945563012676912,0.9022447501810281,0.8958282507928762,-0.0064164993881519194,0.9826666666666667,0.9875555555555555,0.0048888888888888316,0.836241610738255,0.8214765100671141,-0.014765100671140896,0.02638426611616503,0.024270432837360238,0.8431550765270333,0.8535258192183454
jpeg_q30,0.8408026755852843,0.8394648829431438,-0.0013377926421405117,0.8404056674123788,0.8390425055928412,-0.0013631618195375506,0.9474426050211285,0.9520120308227691,0.004569425801640548,0.8187817258883248,0.815668202764977,-0.0031135231233477834,0.9591111111111111,0.9653333333333334,0.00622222222222224,0.7217002237136465,0.7127516778523489,-0.008948545861297563,0.05185835309726852,0.05203299005637182,0.7362775243277639,0.7573708357043251
blur_sigma0.5,0.9946488294314382,0.9953177257525083,0.0006688963210701449,0.994654735272185,0.9953214019388517,0.0006666666666667043,0.9998167536664181,0.9997682326621924,-4.852100422569894e-05,0.9946404644930773,0.9953072625698324,0.0006667980767550707,0.9928888888888889,0.9942222222222222,0.0013333333333332975,0.996420581655481,0.996420581655481,0.0,0.009217906672329872,0.009160803146947064,0.9965367726275335,0.9972136428375505
blur_sigma1.0,0.988628762541806,0.9933110367892977,0.00468227424749168,0.9886562266964951,0.9933124533929903,0.004656226696495236,0.9995715635098186,0.999510216256525,-6.134725329354218e-05,0.988684268915021,0.9932915921288015,0.004607323213780434,0.9804444444444445,0.9928888888888889,0.01244444444444448,0.9968680089485459,0.9937360178970918,-0.0031319910514541194,0.02504221186665866,0.011569435833746866,0.9971843053197167,0.9953897500278374
blur_sigma2.0,0.9132664437012263,0.9837235228539576,0.07045707915273125,0.9135525727069351,0.9837479492915735,0.07019537658463837,0.9969669400944569,0.9989357196122297,0.001968779517772856,0.9198764160659115,0.9837885853875193,0.06391216932160781,0.828,0.9764444444444444,0.1484444444444445,0.9991051454138703,0.9910514541387024,-0.008053691275167862,0.20001274557869342,0.03941047631644138,0.998393873048642,0.9931026743293399
resize_0.5,0.9855072463768116,0.9861761426978818,0.0006688963210701449,0.9855331841909023,0.9861968680089486,0.0006636838180462679,0.999183992045737,0.9992241610738255,4.0169028088454795e-05,0.9855715871254163,0.9862160960426856,0.0006445089172693041,0.9777777777777777,0.98,0.0022222222222222365,0.9932885906040269,0.992393736017897,-0.0008948545861298118,0.028679717832797488,0.02819432010290899,0.9925065781837809,0.9944450246799379
resize_0.25,0.8006688963210702,0.7879598662207358,-0.012709030100334417,0.8000059656972409,0.7872498135719612,-0.012756152125279696,0.9903385533184191,0.9932191896594581,0.002880636341038967,0.7505580357142857,0.7299062766259585,-0.02065175908832717,0.9982222222222222,0.9995555555555555,0.0013333333333332975,0.6017897091722595,0.5749440715883669,-0.02684563758389258,0.0024998431107968472,0.0009712671730987729,0.6269904702299303,0.6500859458438805
