condition,b1_accuracy,b2j_accuracy,delta_accuracy,b1_balanced_accuracy,b2j_balanced_accuracy,delta_balanced_accuracy,b1_auc,b2j_auc,delta_auc,b1_f1,b2j_f1,delta_f1,b1_real_accuracy,b2j_real_accuracy,delta_real_accuracy,b1_fake_accuracy,b2j_fake_accuracy,delta_fake_accuracy,b1_mean_prob_real,b2j_mean_prob_real,b1_mean_prob_fake,b2j_mean_prob_fake
clean,0.9964325529542921,0.9955406911928651,-0.0008918617614269708,0.9964325130499627,0.9955466070096943,-0.0008859060402683916,0.9998236142182451,0.9996787472035794,-0.00014486701466565055,0.996420581655481,0.9955337204108977,-0.0008868612445832591,0.9964444444444445,0.9937777777777778,-0.002666666666666706,0.996420581655481,0.9973154362416108,0.0008948545861298118,0.005316996423370032,0.0075648610935671505,0.9957133824482843,0.9955355020624355
jpeg_q90,0.9612040133779264,0.9901895206243032,0.02898550724637683,0.9610872483221476,0.990199850857569,0.02911260253542136,0.997963112105394,0.9990668655232413,0.0011037534178472974,0.9596662030598053,0.9901873327386264,0.030521129678821035,0.996,0.9871111111111112,-0.008888888888888835,0.9261744966442953,0.9932885906040269,0.06711409395973156,0.006202838743372648,0.012865956636676827,0.9283072984314985,0.9887258669113537
jpeg_q70,0.9311036789297659,0.9806020066889632,0.04949832775919738,0.9309008202833706,0.9806144668158091,0.04971364653243848,0.9930639821029082,0.9976256524981357,0.0045616703952274795,0.9264110502500595,0.9806106529975485,0.05419960274748892,0.9915555555555555,0.9768888888888889,-0.014666666666666606,0.8702460850111857,0.9843400447427293,0.11409395973154357,0.012021811567524616,0.022941621660745485,0.8772397165605087,0.9793051308288678
jpeg_q50,0.9096989966555183,0.9703455964325529,0.06064659977703457,0.9094541387024608,0.9703982102908277,0.0609440715883669,0.9827575441213026,0.9959588366890381,0.0132012925677355,0.9022447501810281,0.9707112970711298,0.06846654689010168,0.9826666666666667,0.9546666666666667,-0.028000000000000025,0.836241610738255,0.9861297539149888,0.14988814317673382,0.02638426611616503,0.044934037527130134,0.8431550765270333,0.9779363827867916
jpeg_q30,0.8408026755852843,0.938907469342252,0.09810479375696768,0.8404056674123788,0.9389783743475019,0.0985727069351231,0.9474426050211285,0.9881876211782252,0.04074501615709669,0.8187817258883248,0.9399912395970214,0.12120951370869659,0.9591111111111111,0.9177777777777778,-0.04133333333333333,0.7217002237136465,0.9601789709172259,0.23847874720357942,0.05185835309726852,0.07755495388141369,0.7362775243277639,0.9521725010056772
blur_sigma0.5,0.9946488294314382,0.9937569676700111,-0.0008918617614270818,0.994654735272185,0.9937703206562267,-0.0008844146159582289,0.9998167536664181,0.9996987322893364,-0.00011802137708172289,0.9946404644930773,0.9937611408199644,-0.0008793236731129417,0.9928888888888889,0.9897777777777778,-0.0031111111111111756,0.996420581655481,0.9977628635346756,0.0013422818791946067,0.009217906672329872,0.01129811913507045,0.9965367726275335,0.9965405737379069
blur_sigma1.0,0.988628762541806,0.9828316610925306,-0.005797101449275366,0.9886562266964951,0.9828844146159583,-0.005771812080536787,0.9995715635098186,0.9994311707680835,-0.00014039274173505145,0.988684268915021,0.9830433825148646,-0.005640886400156475,0.9804444444444445,0.9671111111111111,-0.013333333333333308,0.9968680089485459,0.9986577181208054,0.0017897091722595126,0.02504221186665866,0.031182717234958843,0.9971843053197167,0.9968925929705402
blur_sigma2.0,0.9132664437012263,0.8564102564102564,-0.05685618729096997,0.9135525727069351,0.8568844146159582,-0.05666815809097692,0.9969669400944569,0.9944838180462342,-0.0024831220482226524,0.9198764160659115,0.8739232576350823,-0.045953158430829255,0.828,0.7151111111111111,-0.11288888888888882,0.9991051454138703,0.9986577181208054,-0.0004474272930649059,0.20001274557869342,0.2758480100280751,0.998393873048642,0.997991295610565
resize_0.5,0.9855072463768116,0.955406911928651,-0.030100334448160626,0.9855331841909023,0.9555316927665921,-0.03000149142431019,0.999183992045737,0.9970598061148397,-0.00212418593089736,0.9855715871254163,0.956877964639931,-0.028693622485485237,0.9777777777777777,0.9182222222222223,-0.05955555555555547,0.9932885906040269,0.992841163310962,-0.0004474272930649059,0.028679717832797488,0.08067641208193875,0.9925065781837809,0.9912837241203326
resize_0.25,0.8006688963210702,0.9346711259754737,0.13400222965440356,0.8000059656972409,0.9345234899328859,0.134517524235645,0.9903385533184191,0.9891529704200845,-0.0011855828983345917,0.7505580357142857,0.93142990872923,0.18087187301494434,0.9982222222222222,0.9786666666666667,-0.019555555555555548,0.6017897091722595,0.8903803131991052,0.28859060402684567,0.0024998431107968472,0.020964216385625314,0.6269904702299303,0.8650019607748752
