condition,b1_accuracy,b2n_accuracy,delta_accuracy,b1_balanced_accuracy,b2n_balanced_accuracy,delta_balanced_accuracy,b1_auc,b2n_auc,delta_auc,b1_f1,b2n_f1,delta_f1,b1_real_accuracy,b2n_real_accuracy,delta_real_accuracy,b1_fake_accuracy,b2n_fake_accuracy,delta_fake_accuracy,b1_mean_prob_real,b2n_mean_prob_real,b1_mean_prob_fake,b2n_mean_prob_fake
clean,0.9964325529542921,0.9964325529542921,0.0,0.9964325130499627,0.9964295302013423,-2.982848620436407e-06,0.9998236142182451,0.9997931891623166,-3.0425055928429146e-05,0.996420581655481,0.9964173757277206,-3.2059277603746494e-06,0.9964444444444445,0.9973333333333333,0.000888888888888828,0.996420581655481,0.9955257270693513,-0.0008948545861297008,0.005316996423370032,0.004176202922315852,0.9957133824482843,0.995538257811556
jpeg_q90,0.9612040133779264,0.9801560758082497,0.018952062430323324,0.9610872483221476,0.9801029082774049,0.019015659955257225,0.997963112105394,0.9991845886154611,0.0012214765100670988,0.9596662030598053,0.9797681291202546,0.02010192606044925,0.996,0.996,0.0,0.9261744966442953,0.9642058165548099,0.03803131991051456,0.006202838743372648,0.006149702986799005,0.9283072984314985,0.9732650137939792
jpeg_q70,0.9311036789297659,0.9712374581939799,0.04013377926421402,0.9309008202833706,0.9711603281133483,0.04025950782997767,0.9930639821029082,0.9976116331096196,0.004547651006711395,0.9264110502500595,0.970460270208381,0.04404921995832145,0.9915555555555555,0.9942222222222222,0.002666666666666706,0.8702460850111857,0.9480984340044742,0.07785234899328852,0.012021811567524616,0.011408850843261637,0.8772397165605087,0.9556008807970555
jpeg_q50,0.9096989966555183,0.9560758082497213,0.04637681159420293,0.9094541387024608,0.9559835943325876,0.04652945563012678,0.9827575441213026,0.994087198608004,0.011329654486701424,0.9022447501810281,0.9546813894639982,0.05243663928297004,0.9826666666666667,0.9835555555555555,0.000888888888888828,0.836241610738255,0.9284116331096197,0.09217002237136473,0.02638426611616503,0.02649035819460023,0.8431550765270333,0.9393163365951643
jpeg_q30,0.8408026755852843,0.906577480490524,0.06577480490523968,0.8404056674123788,0.9063788217747949,0.06597315436241613,0.9474426050211285,0.9785788714889386,0.031136266467810092,0.8187817258883248,0.9003567181926277,0.08157499230430298,0.9591111111111111,0.9657777777777777,0.006666666666666599,0.7217002237136465,0.8469798657718121,0.12527964205816555,0.05185835309726852,0.04542330225278748,0.7362775243277639,0.8676442423519234
blur_sigma0.5,0.9946488294314382,0.9957636566332219,0.0011148272017836858,0.994654735272185,0.9957628635346756,0.0011081282624906263,0.9998167536664181,0.9998120805369127,-4.673129505361473e-06,0.9946404644930773,0.9957484895949877,0.001108025101910437,0.9928888888888889,0.996,0.0031111111111110645,0.996420581655481,0.9955257270693513,-0.0008948545861297008,0.009217906672329872,0.006153201524237864,0.9965367726275335,0.9960046216184524
blur_sigma1.0,0.988628762541806,0.9919732441471572,0.0033444816053511683,0.9886562266964951,0.9919895600298285,0.0033333333333334103,0.9995715635098186,0.9997957742977878,0.00022421078796919236,0.988684268915021,0.9919857524487978,0.0033014835337767945,0.9804444444444445,0.9871111111111112,0.00666666666666671,0.9968680089485459,0.9968680089485459,0.0,0.02504221186665866,0.01892592312545279,0.9971843053197167,0.9971632181498028
blur_sigma2.0,0.9132664437012263,0.9426978818283166,0.02943143812709026,0.9135525727069351,0.9428799403430277,0.02932736763609256,0.9969669400944569,0.9974330599055431,0.0004661198110862408,0.9198764160659115,0.945493107104984,0.025616691039072492,0.828,0.8884444444444445,0.06044444444444452,0.9991051454138703,0.9973154362416108,-0.0017897091722595126,0.20001274557869342,0.1538076974348932,0.998393873048642,0.9977009537150839
resize_0.5,0.9855072463768116,0.9801560758082497,-0.005351170568561936,0.9855331841909023,0.980199850857569,-0.005333333333333301,0.999183992045737,0.9987106139696744,-0.00047337807606262494,0.9855715871254163,0.9803488628836389,-0.005222724241777388,0.9777777777777777,0.9671111111111111,-0.010666666666666602,0.9932885906040269,0.9932885906040269,0.0,0.028679717832797488,0.047585588771354034,0.9925065781837809,0.9936268900903421
resize_0.25,0.8006688963210702,0.833221850613155,0.032552954292084824,0.8000059656972409,0.8326651752423564,0.032659209545115475,0.9903385533184191,0.9931732537907034,0.0028347004722842906,0.7505580357142857,0.799248523886205,0.048690488171919344,0.9982222222222222,0.9991111111111111,0.000888888888888828,0.6017897091722595,0.6662192393736018,0.06442953020134234,0.0024998431107968472,0.0017814161906994298,0.6269904702299303,0.7116179039974302
