condition,b1_accuracy,b2n_accuracy,b2njr_accuracy,delta_njr_vs_b1_accuracy,delta_njr_vs_b2n_accuracy,b1_balanced_accuracy,b2n_balanced_accuracy,b2njr_balanced_accuracy,b1_auc,b2n_auc,b2njr_auc,delta_njr_vs_b1_auc,delta_njr_vs_b2n_auc,b1_f1,b2n_f1,b2njr_f1,b1_real_accuracy,b2n_real_accuracy,b2njr_real_accuracy,b1_fake_accuracy,b2n_fake_accuracy,b2njr_fake_accuracy
clean,0.9964325529542921,0.9964325529542921,0.9957636566332219,-0.0006688963210702559,-0.0006688963210702559,0.9964325130499627,0.9964295302013423,0.9957628635346756,0.9998236142182451,0.9997931891623166,0.9997285607755406,-9.505344270444027e-05,-6.462838677601113e-05,0.996420581655481,0.9964173757277206,0.9957484895949877,0.9964444444444445,0.9973333333333333,0.996,0.996420581655481,0.9955257270693513,0.9955257270693513
jpeg_q90,0.9612040133779264,0.9801560758082497,0.9906354515050168,0.02943143812709037,0.010479375696767046,0.9610872483221476,0.9801029082774049,0.990627889634601,0.997963112105394,0.9991845886154611,0.9993584886900323,0.001395376584638286,0.00017390007457118717,0.9596662030598053,0.9797681291202546,0.9905829596412558,0.996,0.996,0.9928888888888889,0.9261744966442953,0.9642058165548099,0.9883668903803132
jpeg_q70,0.9311036789297659,0.9712374581939799,0.9821627647714605,0.05105908584169461,0.010925306577480587,0.9309008202833706,0.9711603281133483,0.982144668158091,0.9930639821029082,0.9976116331096196,0.9985574944071588,0.005493512304250547,0.0009458612975391523,0.9264110502500595,0.970460270208381,0.9820062977957715,0.9915555555555555,0.9942222222222222,0.9875555555555555,0.8702460850111857,0.9480984340044742,0.9767337807606264
jpeg_q50,0.9096989966555183,0.9560758082497213,0.9765886287625418,0.06688963210702348,0.02051282051282055,0.9094541387024608,0.9559835943325876,0.9765980611483966,0.9827575441213026,0.994087198608004,0.9969944817300522,0.014236937608749667,0.002907283122048243,0.9022447501810281,0.9546813894639982,0.9765781842516171,0.9826666666666667,0.9835555555555555,0.9737777777777777,0.836241610738255,0.9284116331096197,0.9794183445190157
jpeg_q30,0.8408026755852843,0.906577480490524,0.9498327759197325,0.10903010033444815,0.043255295429208473,0.8404056674123788,0.9063788217747949,0.9498434004474272,0.9474426050211285,0.9785788714889386,0.9910407158836689,0.043598110862540396,0.012461844394730304,0.8187817258883248,0.9003567181926277,0.9498327759197325,0.9591111111111111,0.9657777777777777,0.9466666666666667,0.7217002237136465,0.8469798657718121,0.9530201342281879
blur_sigma0.5,0.9946488294314382,0.9957636566332219,0.9942028985507246,-0.0004459308807135409,-0.0015607580824972267,0.994654735272185,0.9957628635346756,0.9942058165548098,0.9998167536664181,0.9998120805369127,0.9997570966940095,-5.9656972408617115e-05,-5.498384290325564e-05,0.9946404644930773,0.9957484895949877,0.994188645507376,0.9928888888888889,0.996,0.9933333333333333,0.996420581655481,0.9955257270693513,0.9950782997762864
blur_sigma1.0,0.988628762541806,0.9919732441471572,0.9926421404682274,0.004013377926421424,0.0006688963210702559,0.9886562266964951,0.9919895600298285,0.992654735272185,0.9995715635098186,0.9997957742977878,0.999736117325379,0.00016455381556046422,-5.965697240872814e-05,0.988684268915021,0.9919857524487978,0.9926454201025183,0.9804444444444445,0.9871111111111112,0.9888888888888889,0.9968680089485459,0.9968680089485459,0.996420581655481
blur_sigma2.0,0.9132664437012263,0.9426978818283166,0.9496098104793756,0.03634336677814931,0.006911928651059052,0.9135525727069351,0.9428799403430277,0.9497658463832961,0.9969669400944569,0.9974330599055431,0.9977389013174248,0.0007719612229679651,0.0003058414118817243,0.9198764160659115,0.945493107104984,0.9517094017094017,0.828,0.8884444444444445,0.9031111111111111,0.9991051454138703,0.9973154362416108,0.996420581655481
resize_0.5,0.9855072463768116,0.9801560758082497,0.988628762541806,0.0031215161649943424,0.008472686733556278,0.9855331841909023,0.980199850857569,0.9886487695749441,0.999183992045737,0.9987106139696744,0.9995149888143177,0.0003309967685806159,0.0008043748446432408,0.9855715871254163,0.9803488628836389,0.9886591060707137,0.9777777777777777,0.9671111111111111,0.9826666666666667,0.9932885906040269,0.9932885906040269,0.9946308724832215
resize_0.25,0.8006688963210702,0.833221850613155,0.9444816053511705,0.14381270903010035,0.11125975473801553,0.8000059656972409,0.8326651752423564,0.9443117076808352,0.9903385533184191,0.9931732537907034,0.9957613721103654,0.005422818791946282,0.0025881183196619917,0.7505580357142857,0.799248523886205,0.9413151072354466,0.9982222222222222,0.9991111111111111,0.9951111111111111,0.6017897091722595,0.6662192393736018,0.8935123042505593
