condition,b1_accuracy,b2r_accuracy,delta_accuracy,b1_balanced_accuracy,b2r_balanced_accuracy,delta_balanced_accuracy,b1_auc,b2r_auc,delta_auc,b1_f1,b2r_f1,delta_f1,b1_real_accuracy,b2r_real_accuracy,delta_real_accuracy,b1_fake_accuracy,b2r_fake_accuracy,delta_fake_accuracy,b1_mean_prob_real,b2r_mean_prob_real,b1_mean_prob_fake,b2r_mean_prob_fake
clean,0.9964325529542921,0.9962095875139353,-0.00022296544035682597,0.9964325130499627,0.9962132736763609,-0.00021923937360179835,0.9998236142182451,0.9997714143673875,-5.219985085758161e-05,0.996420581655481,0.9962011173184359,-0.0002194643370451166,0.9964444444444445,0.9951111111111111,-0.0013333333333334085,0.996420581655481,0.9973154362416108,0.0008948545861298118,0.005316996423370032,0.0037167801170225894,0.9957133824482843,0.9944127302205084
jpeg_q90,0.9612040133779264,0.968561872909699,0.0073578595317725926,0.9610872483221476,0.9684802386278897,0.007392990305742031,0.997963112105394,0.9978744220730797,-8.869003231426476e-05,0.9596662030598053,0.9676679660628298,0.008001763003024465,0.996,0.9928888888888889,-0.0031111111111110645,0.9261744966442953,0.9440715883668904,0.017897091722595126,0.006202838743372648,0.0049538949564686,0.9283072984314985,0.9104924492527119
jpeg_q70,0.9311036789297659,0.9418060200668896,0.010702341137123761,0.9309008202833706,0.941640566741238,0.01073974645786735,0.9930639821029082,0.9941043002734278,0.0010403181705195275,0.9264110502500595,0.9385737820663685,0.012162731816309003,0.9915555555555555,0.9911111111111112,-0.0004444444444443585,0.8702460850111857,0.8921700223713647,0.021923937360178947,0.012021811567524616,0.005625625765065916,0.8772397165605087,0.8486777364945988
jpeg_q50,0.9096989966555183,0.9224080267558529,0.012709030100334529,0.9094541387024608,0.9222162565249814,0.012762117822520569,0.9827575441213026,0.9857252796420581,0.0029677355207555767,0.9022447501810281,0.9174181300427148,0.015173379861686653,0.9826666666666667,0.9795555555555555,-0.0031111111111111756,0.836241610738255,0.8648769574944072,0.028635346756152202,0.02638426611616503,0.013219574426504973,0.8431550765270333,0.804047887024279
jpeg_q30,0.8408026755852843,0.8626532887402453,0.02185061315496095,0.8404056674123788,0.8623146905294556,0.021909023117076876,0.9474426050211285,0.9589312453392991,0.01148864031817054,0.8187817258883248,0.8466898954703833,0.02790816958205855,0.9591111111111111,0.9635555555555556,0.004444444444444473,0.7217002237136465,0.7610738255033557,0.03937360178970917,0.05185835309726852,0.024410727366545676,0.7362775243277639,0.6872286534668501
blur_sigma0.5,0.9946488294314382,0.9946488294314382,0.0,0.994654735272185,0.9946562266964951,1.4914243101626923e-06,0.9998167536664181,0.9997778772060651,-3.8876460352943454e-05,0.9946404644930773,0.9946428571428572,2.3926497798587576e-06,0.9928888888888889,0.9924444444444445,-0.0004444444444444695,0.996420581655481,0.9968680089485459,0.0004474272930649059,0.009217906672329872,0.004983715178689244,0.9965367726275335,0.9952264141332919
blur_sigma1.0,0.988628762541806,0.9933110367892977,0.00468227424749168,0.9886562266964951,0.9933273676360925,0.004671140939597418,0.9995715635098186,0.9996927665920955,0.00012120308227692167,0.988684268915021,0.9933214603739982,0.004637191458977119,0.9804444444444445,0.9884444444444445,0.008000000000000007,0.9968680089485459,0.9982102908277405,0.0013422818791946067,0.02504221186665866,0.00844381114795446,0.9971843053197167,0.994494478363337
blur_sigma2.0,0.9132664437012263,0.9569676700111482,0.0437012263099219,0.9135525727069351,0.95710365398956,0.04355108128262486,0.9969669400944569,0.9984162068108376,0.0014492667163807926,0.9198764160659115,0.958521384053299,0.03864496798738748,0.828,0.9164444444444444,0.08844444444444444,0.9991051454138703,0.9977628635346756,-0.0013422818791947178,0.20001274557869342,0.05316247971198732,0.998393873048642,0.9930033191414204
resize_0.5,0.9855072463768116,0.991304347826087,0.005797101449275366,0.9855331841909023,0.9913199105145414,0.00578672632363908,0.999183992045737,0.9996726820780512,0.0004886900323141097,0.9855715871254163,0.991315965263861,0.00574437813844475,0.9777777777777777,0.9866666666666667,0.008888888888888946,0.9932885906040269,0.9959731543624161,0.0026845637583892135,0.028679717832797488,0.008037838780511257,0.9925065781837809,0.9906358116503776
resize_0.25,0.8006688963210702,0.9282051282051282,0.12753623188405805,0.8000059656972409,0.9279761372110366,0.12797017151379564,0.9903385533184191,0.9947334824757643,0.004394929157345184,0.7505580357142857,0.9226705091258406,0.1721124734115549,0.9982222222222222,0.9964444444444445,-0.001777777777777767,0.6017897091722595,0.8595078299776286,0.25771812080536916,0.0024998431107968472,0.002290586727211042,0.6269904702299303,0.7867239790291811
noise_sigma0.02,0.7828316610925307,0.8022296544035674,0.019397993311036754,0.7822565249813571,0.8018180462341535,0.01956152125279642,0.8755974148645289,0.8989777777777778,0.023380362913248853,0.7368989735278229,0.7737821984187707,0.03688322489094786,0.9542222222222222,0.9248888888888889,-0.029333333333333322,0.6102908277404921,0.6787472035794183,0.06845637583892616,0.05601753129573245,0.05269800233212155,0.6205784189619219,0.6372201478940687
noise_sigma0.05,0.7141583054626532,0.7453734671125976,0.031215161649944312,0.7132587621178226,0.7447009694258017,0.031442207307979086,0.8071212527964206,0.8338748197862291,0.026753566989808575,0.6077111383108935,0.6802911534154534,0.07258001510455991,0.9822222222222222,0.9457777777777778,-0.03644444444444439,0.4442953020134228,0.5436241610738255,0.09932885906040267,0.025456661641213112,0.034103404386304104,0.45465592688297746,0.4957153401966821
noise_sigma0.10,0.6421404682274248,0.6891861761426978,0.04704570791527307,0.6410514541387025,0.6884847129008203,0.04743325876211779,0.7240417598806861,0.7350816803380562,0.011039920457370123,0.46766169154228854,0.6055461233729484,0.1378844318306599,0.9666666666666667,0.8982222222222223,-0.06844444444444442,0.31543624161073824,0.47874720357941836,0.1633109619686801,0.04330345502854508,0.06923218761802094,0.32792323010683694,0.4085849549911403
